Class_Name,Common_Name,Description,Habitat,Average_Size
PL_Kur_Diabel,Shorthorn Sculpin,Heavily built marine fish with a large spiny head.,Rocky bottoms in the Baltic Sea.,15-30 cm
PL_Leszcz,Common Bream,"Deep-bodied, silver fish that turns bronze with age.",Slow rivers and nutrient-rich lakes.,30-60 cm
PL_Lin,Tench,"Sturdy fish with very small scales, thick skin, and olive-green color.","Shallow, weedy ponds and lakes.",25-45 cm
PL_Lipien,European Grayling,"Elegant fish with a very large, colorful dorsal fin.","Clean, cold, fast-flowing rivers.",30-45 cm
PL_Losos_Atlantycki,Atlantic Salmon,Migratory fish famous for its long journey to spawn in rivers.,North Atlantic ocean and clean rivers.,60-120 cm
PL_Mietus,Burbot,"The only freshwater cod-like fish, active in winter.","Cold, deep lakes and rivers.",30-60 cm
PL_Okon,European Perch,Predatory fish with vertical dark stripes and red lower fins.,Almost all types of freshwater and brackish water.,20-40 cm
PL_Piekielnica,Schneider (Spirlin),Small fish with a double row of black dots along its side.,"Clean, fast-flowing streams.",10-13 cm
PL_Ploc,Common Roach,Very common silver fish with bright red eyes and fins.,Almost any freshwater habitat.,15-30 cm
PL_Pstrag_Potokowy,Brown Trout,Prized game fish with red and black spots on its sides.,"Cold, oxygen-rich mountain streams and rivers.",30-50 cm
PL_Pstrag_Tecczowy,Rainbow Trout,Introduced species with a pinkish stripe along its side.,Rivers and commercial fishing ponds.,30-60 cm
PL_Pstrag_Zrodlany,Brook Trout,Beautifully colored trout with marbled patterns on its back.,"Cold, clear springs and small streams.",20-40 cm
PL_Rozpior,Blue Bream,Slender relative of the common bream with a long anal fin.,Large rivers and reservoirs.,25-40 cm
PL_Sandacz,Zander (Pike-perch),Highly prized predatory fish with sharp teeth and glassy eyes.,"Large, turbid rivers and lakes.",40-80 cm
PL_Sieja,Common Whitefish,"Silvery fish of the salmon family found in deep, clean lakes.","Deep, cold alpine and lowland lakes.",30-55 cm
PL_Sielawa,Vendace,"Small, delicate relative of the whitefish, found in deep lakes.","Deep, clean, cold lakes.",15-25 cm
PL_Sledz_Baltycki,Baltic Herring,"Small, silver oily fish, a subspecies of the Atlantic herring.",Open waters of the Baltic Sea.,15-25 cm
PL_Sum_Europejski,Wels Catfish,Enormous predatory fish with a long body and long barbels.,"Large, warm rivers and lakes.",100-250 cm
PL_Sumik_Karlowaty,Brown Bullhead,Small invasive catfish from North America with sharp spines.,"Warm, stagnant, or slow-moving waters.",20-30 cm
PL_Swinka,Common Nase,"Fish with a hard, straight lip used for scraping algae from rocks.",Fast-flowing rivers with rocky bottoms.,25-45 cm
PL_Szczupak,Northern Pike,"Ambush predator with a long, torpedo-shaped body and sharp teeth.","Lakes, rivers, and brackish coastal waters.",50-100 cm
PL_Szprot,European Sprat,"Small, silver marine fish used extensively in the food industry.",Coastal waters and the Baltic Sea.,10-15 cm
PL_Tolpyga_Biala,Silver Carp,Large fish known for jumping out of the water when disturbed.,Large rivers and aquaculture ponds.,60-100 cm
PL_Tolpyga_Pstara,Bighead Carp,Large freshwater fish with a massive head and low-set eyes.,Large rivers and reservoirs.,60-110 cm
PL_Troc_Wedrowna,Sea Trout,Migratory form of the trout that lives in the sea and spawns in rivers.,Baltic Sea and coastal rivers.,50-80 cm
PL_Turbot,Turbot,"Large, circular flatfish prized for its firm white flesh.",Sandy or gravelly sea floors.,40-70 cm
PL_Ukleja,Common Bleak,"Small, slim silver fish that swims in large schools near the surface.",Rivers and lakes.,12-18 cm
PL_Wegorz_Europejski,European Eel,Snake-like migratory fish that spawns in the Sargasso Sea.,"Rivers, lakes, and coastal waters.",60-100 cm
PL_Wzdrega,Common Rudd,"Golden-colored fish often confused with the roach, has red fins.",Weedy lakes and slow rivers.,20-35 cm
Shark_basking,Basking Shark,"Huge filter-feeder, the second largest living fish.",Temperate oceans worldwide.,6-8 m
Shark_blacktip,Blacktip Shark,"Fast, athletic shark with black tips on its fins.",Tropical and subtropical coastal waters.,1.5-2 m
Shark_blue,Blue Shark,"Slender, deep-blue shark known for long-distance migrations.",Deep temperate and tropical ocean waters.,2-3 m
Shark_bull,Bull Shark,Aggressive shark known for swimming in both salt and fresh water.,Coastal waters and large rivers.,2-3.4 m
Shark_hammerhead,Hammerhead Shark,Shark with a unique T-shaped head called a cephalofoil.,Tropical and warm temperate coastal waters.,3-6 m
Shark_lemon,Lemon Shark,Yellowish-brown shark often found in shallow subtropical waters.,"Coastal shelves, mangroves, and coral reefs.",2.4-3 m
Shark_mako,Shortfin Mako Shark,"The fastest shark in the world, capable of high-speed bursts.",Offshore temperate and tropical waters.,2.5-3.5 m
Shark_nurse,Nurse Shark,Bottom-dwelling shark with a broad head and barbels.,Tropical and subtropical coastal waters.,2-3 m
Shark_sand_tiger,Sand Tiger Shark,Large-headed shark with jagged teeth visible even when mouth is closed.,Coastal waters and reefs.,2-3 m
Shark_thresher,Thresher Shark,"Recognizable by its extremely long, scythe-like tail fin.",Open ocean in temperate and tropical regions.,3-5 m
Shark_tiger,Tiger Shark,Large predator with dark stripes that fade as it matures.,Tropical and temperate waters worldwide.,3.2-4.5 m
Shark_whale,Whale Shark,"The largest fish in the sea, a gentle filter-feeder.",Tropical and warm temperate oceans.,10-12 m
Shark_white,Great White Shark,The worlds largest known predatory fish.,Coastal and offshore temperate waters.,4-6 m
Shark_whitetip,Whitetip Reef Shark,Slender shark with white tips on its dorsal and tail fins.,Coral reefs in the Indo-Pacific.,1.2-1.6 m
Turbo_Bighead_carp,Bighead Carp,Large freshwater fish with an exceptionally large head.,Large rivers and aquaculture.,60-110 cm
Turbo_Blackchin_Tilapia,Blackchin Tilapia,Small tilapia species with a distinctive black chin.,Brackish and fresh waters of West Africa.,15-25 cm
Turbo_Carp,Common Carp (Turbo variant),Standard common carp found in many freshwater habitats.,"Lakes, rivers, and farms.",40-80 cm
Turbo_Catfish,Walking Catfish / Airbreathing Catfish,"Catfish capable of ""walking"" on land using its fins.",Freshwater swamps and ponds.,30-50 cm
Turbo_Climbing_Perch,Climbing Perch,Small fish capable of surviving out of water for long periods.,Fresh and brackish waters in Asia.,15-25 cm
Turbo_Freshwater_Eel,Freshwater Eel,Elongated fish found in Asian river systems.,Freshwater rivers and estuaries.,40-90 cm
Turbo_Goby,Goby,Small bottom-dwelling fish with fused pelvic fins forming a sucker.,"Fresh, brackish, and marine waters.",5-15 cm
Turbo_Gold_Fish,Goldfish,Common ornamental fish from the carp family.,Domesticated in ponds and tanks.,15-30 cm
Turbo_Gourami,Gourami,Labyrinth fish known for their thread-like pelvic fins.,Freshwater habitats in Asia.,10-60 cm
Turbo_Indian_Carp,Rohu (Indian Carp),Important freshwater food fish in South Asia.,Rivers and aquaculture in India.,40-90 cm
Turbo_Indo-pacific_Tarpon,Indo-pacific Tarpon,"Large, silver predatory fish capable of breathing air.",Coastal waters and estuaries.,50-100 cm
Turbo_Jaguar_Guapote,Jaguar Cichlid,Predatory cichlid with dark spots resembling a jaguar.,Freshwater lakes and rivers.,25-40 cm
Turbo_Janitor_Fish,Janitor Fish (Plecostomus),Armored catfish often used to clean algae in aquariums.,Freshwater rivers and tanks.,20-50 cm
Turbo_Knife_Fish,Clown Knifefish,"Fish with a long, continuous anal fin and spots on its body.",Large rivers and lakes in SE Asia.,50-90 cm
Turbo_Manila_Catfish,Kanduli Catfish,Silvery catfish common in the Philippines.,Fresh and brackish waters.,20-40 cm
Turbo_Milkfish,Milkfish (Bangus),Important food fish in SE Asia with a symmetrical tail.,Marine and brackish tropical waters.,50-100 cm
Turbo_Mosquito_Fish,Mosquitofish,Small fish introduced globally to control mosquito populations.,"Shallow, stagnant waters.",4-7 cm
Turbo_Mudfish,Snakehead (Mudfish),Aggressive predator that can survive in low oxygen.,"Rivers, lakes, and swamps.",30-80 cm
Turbo_Mullet,Grey Mullet,Silver fish that often jumps out of the water.,Coastal marine and brackish waters.,30-60 cm
Turbo_Scat_Fish,Spotted Scat,"Small, flat, spotted fish popular in the aquarium trade.",Estuaries and coastal waters.,15-25 cm
Turbo_Silver_Barb,Silver Barb,Shiny silver freshwater fish common in Asian aquaculture.,Rivers and ponds.,20-35 cm
Turbo_Silver_Carp,Silver Carp,Filter-feeding carp that jumps when startled.,Large rivers.,60-100 cm
Turbo_Silver_Perch,Silver Perch,Freshwater fish from Australia with silver-grey scales.,Slow rivers and dams.,25-40 cm
Turbo_Tenpounder,Tenpounder (Ladyfish),"Slender, silvery fish known for its fighting ability.",Coastal tropical waters.,40-70 cm
Turbo_Tilapia,Nile Tilapia,Highly adaptable and widely farmed freshwater fish.,"Lakes, rivers, and farms.",20-40 cm
